SubjectID, SubjectType
SUB1, APPLE_FRAME
SUB2, AURORA_BOREALIS
SUB3, BARN
SUB4, BEACH
SUB5, BOAT
SUB6, BRIDGE
SUB7, BUILDING
SUB8, BUSHES
SUB9, CABIN
SUB10, CACTUS
SUB11, CIRCLE_FRAME
SUB12, CIRRUS
SUB13, CLIFF
SUB14, CLOUDS
SUB15, CONIFER
SUB16, CUMULUS
SUB17, DECIDUOUS
SUB18, DIANE_ANDRE
SUB19, DOCK
SUB20, DOUBLE_OVAL_FRAME
SUB21, FARM
SUB22, FENCE
SUB23, FIRE
SUB24, FLORIDA_FRAME
SUB25, FLOWERS
SUB26, FOG
SUB27, FRAMED
SUB28, GRASS
SUB29, GUEST
SUB30, HALF_CIRCLE_FRAME
SUB31, HALF_OVAL_FRAME
SUB32, HILLS
SUB33, LAKE
SUB34, LAKES
SUB35, LIGHTHOUSE
SUB36, MILL
SUB37, MOON
SUB38, MOUNTAIN
SUB39, MOUNTAINS
SUB40, NIGHT
SUB41, OCEAN
SUB42, OVAL_FRAME
SUB43, PALM_TREES
SUB44, PATH
SUB45, PERSON
SUB46, PORTRAIT
SUB47, RECTANGLE_3D_FRAME
SUB48, RECTANGULAR_FRAME
SUB49, RIVER
SUB50, ROCKS
SUB51, SEASHELL_FRAME
SUB52, SNOW
SUB53, SNOWY_MOUNTAIN
SUB54, SPLIT_FRAME
SUB55, STEVE_ROSS
SUB56, STRUCTURE
SUB57, SUN
SUB58, TOMB_FRAME
SUB59, TREE
SUB60, TREES
SUB61, TRIPLE_FRAME
SUB62, WATERFALL
SUB63, WAVES
SUB64, WINDMILL
SUB65, WINDOW_FRAME
SUB66, WINTER
SUB67, WOOD_FRAMED
